date,BAGUETTE,BANETTE,BOULE 400G,CAMPAGNE,CEREAL BAGUETTE,COOKIE,CROISSANT,ECLAIR,PAIN AU CHOCOLAT,SPECIAL BREAD,TARTELETTE,TRADITIONAL BAGUETTE
2022-01-16,33.0,26.0,6.0,5.0,9.0,3.0,63.0,9.0,52.0,6.0,7.0,132.0
2022-01-17,19.0,16.0,1.0,1.0,8.0,3.0,13.0,0.0,10.0,13.0,0.0,93.0
2022-01-18,18.0,16.0,1.0,4.0,3.0,2.0,21.0,0.0,14.0,6.0,2.0,74.0
2022-01-20,20.0,23.0,3.0,4.0,7.0,5.0,18.0,0.0,23.0,6.0,7.0,82.0
2022-01-21,23.0,16.0,2.0,5.0,9.0,5.0,10.0,0.0,30.0,4.0,2.0,80.0
2022-01-22,29.0,13.0,2.0,3.0,7.0,6.0,38.0,8.0,12.0,7.0,2.0,128.0
2022-01-23,51.0,41.0,6.0,5.0,9.0,7.0,57.0,18.0,38.0,9.0,14.0,132.0
2022-01-24,19.0,18.0,6.0,5.0,8.0,3.0,9.0,0.0,7.0,8.0,2.0,85.0
2022-01-25,24.0,7.0,4.0,4.0,5.0,2.0,11.0,0.0,23.0,8.0,2.0,81.0
2022-01-27,28.0,24.0,4.0,5.0,8.0,6.0,23.0,0.0,23.0,4.0,4.0,101.0
2022-01-28,23.0,10.0,2.0,5.0,3.0,7.0,39.0,0.0,29.0,6.0,3.0,62.0
2022-01-29,24.0,19.0,1.0,2.0,8.0,4.0,31.0,2.0,29.0,9.0,12.0,94.0
2022-01-30,35.0,40.0,6.0,5.0,10.0,4.0,48.0,20.0,47.0,8.0,5.0,150.0
2022-01-31,17.0,23.0,3.0,2.0,7.0,5.0,17.0,3.0,12.0,4.0,7.0,83.0
2022-02-01,25.0,23.0,4.0,1.0,6.0,0.0,9.0,0.0,12.0,4.0,1.0,96.0
2022-02-03,23.0,13.0,4.0,5.0,5.0,3.0,21.0,0.0,20.0,5.0,7.0,81.0
2022-02-04,21.0,14.0,3.0,2.0,3.0,14.0,15.0,3.0,8.0,4.0,5.0,79.0
2022-02-05,24.0,31.0,7.0,5.0,6.0,3.0,24.0,9.0,19.0,7.0,14.0,101.0
2022-02-06,55.0,41.0,13.0,6.0,9.0,8.0,77.0,11.0,38.0,8.0,7.0,162.0
2022-02-07,27.0,38.0,6.0,2.0,9.0,3.0,13.0,4.0,14.0,5.0,6.0,101.0
2022-02-08,30.0,21.0,4.0,5.0,7.0,7.0,5.0,2.0,23.0,8.0,7.0,85.0
2022-02-10,24.0,24.0,6.0,5.0,7.0,5.0,31.0,0.0,27.0,6.0,5.0,95.0
2022-02-11,23.0,22.0,3.0,3.0,4.0,9.0,16.0,16.0,23.0,3.0,6.0,85.0
2022-02-12,21.0,29.0,6.0,5.0,10.0,5.0,33.0,5.0,17.0,10.0,6.0,156.0
2022-02-13,45.0,30.0,12.0,12.0,17.0,4.0,78.0,17.0,52.0,14.0,17.0,193.0
2022-02-14,28.0,29.0,2.0,4.0,10.0,8.0,22.0,1.0,18.0,7.0,5.0,126.0
2022-02-15,31.0,36.0,11.0,5.0,10.0,8.0,54.0,3.0,46.0,10.0,0.0,140.0
2022-02-17,35.0,29.0,8.0,5.0,10.0,5.0,11.0,0.0,26.0,10.0,5.0,156.0
2022-02-18,39.0,31.0,9.0,5.0,10.0,8.0,17.0,14.0,46.0,9.0,11.0,153.0
2022-02-19,45.0,42.0,10.0,0.0,10.0,12.0,44.0,8.0,28.0,13.0,13.0,178.0
2022-02-20,43.0,42.0,13.0,9.0,10.0,8.0,96.0,4.0,87.0,9.0,29.0,278.0
2022-02-21,24.0,22.0,8.0,5.0,4.0,5.0,18.0,0.0,16.0,8.0,2.0,112.0
2022-02-22,31.0,28.0,8.0,6.0,10.0,1.0,28.0,0.0,20.0,13.0,0.0,132.0
2022-02-24,31.0,32.0,12.0,5.0,10.0,7.0,20.0,0.0,34.0,9.0,12.0,154.0
2022-02-25,35.0,30.0,10.0,7.0,10.0,8.0,13.0,18.0,37.0,9.0,13.0,143.0
2022-02-26,38.0,38.0,9.0,10.0,10.0,12.0,44.0,10.0,38.0,14.0,14.0,202.0
2022-02-27,61.0,66.0,18.0,13.0,9.0,6.0,92.0,28.0,68.0,10.0,40.0,274.0
2022-02-28,23.0,19.0,8.0,4.0,7.0,8.0,15.0,7.0,15.0,10.0,8.0,154.0
2022-03-01,28.0,30.0,8.0,8.0,9.0,5.0,15.0,6.0,17.0,10.0,6.0,147.0
2022-03-02,10.0,20.0,2.0,5.0,11.0,6.0,24.0,8.0,15.0,5.0,5.0,119.0
2022-03-03,24.0,30.0,6.0,6.0,4.0,2.0,11.0,1.0,22.0,5.0,6.0,122.0
2022-03-04,26.0,30.0,7.0,8.0,10.0,7.0,26.0,1.0,23.0,10.0,0.0,140.0
2022-03-05,39.0,40.0,10.0,9.0,10.0,5.0,52.0,13.0,45.0,9.0,13.0,199.0
2022-03-06,47.0,53.0,13.0,12.0,10.0,2.0,72.0,22.0,76.0,15.0,28.0,251.0
2022-03-07,25.0,25.0,9.0,4.0,3.0,4.0,30.0,2.0,23.0,9.0,1.0,141.0
2022-03-08,25.0,30.0,6.0,5.0,8.0,10.0,21.0,0.0,20.0,4.0,10.0,72.0
2022-03-09,17.0,11.0,3.0,1.0,1.0,1.0,19.0,1.0,31.0,3.0,9.0,55.0
2022-03-10,19.0,22.0,4.0,0.0,6.0,3.0,22.0,4.0,18.0,4.0,9.0,66.0
2022-03-11,26.0,24.0,5.0,4.0,3.0,3.0,17.0,2.0,12.0,0.0,0.0,77.0
2022-03-12,27.0,24.0,6.0,5.0,8.0,4.0,22.0,2.0,27.0,3.0,9.0,96.0
2022-03-13,36.0,31.0,10.0,5.0,10.0,7.0,57.0,11.0,50.0,7.0,16.0,180.0
2022-03-14,24.0,28.0,3.0,4.0,5.0,5.0,23.0,3.0,13.0,7.0,0.0,87.0
2022-03-15,27.0,19.0,4.0,4.0,2.0,5.0,12.0,1.0,20.0,5.0,3.0,75.0
2022-03-16,20.0,12.0,3.0,1.0,0.0,0.0,22.0,3.0,24.0,2.0,5.0,50.0
2022-03-17,10.0,25.0,5.0,4.0,6.0,6.0,12.0,0.0,18.0,4.0,9.0,66.0
2022-03-18,17.0,24.0,3.0,1.0,11.0,9.0,25.0,4.0,28.0,5.0,4.0,77.0
2022-03-19,28.0,30.0,4.0,5.0,4.0,1.0,28.0,8.0,31.0,5.0,9.0,130.0
2022-03-20,32.0,45.0,6.0,3.0,8.0,3.0,94.0,13.0,80.0,8.0,11.0,222.0
2022-03-21,30.0,30.0,6.0,5.0,9.0,0.0,28.0,1.0,26.0,6.0,5.0,94.0
2022-03-22,17.0,25.0,6.0,5.0,3.0,3.0,27.0,0.0,17.0,6.0,4.0,86.0
2022-03-23,16.0,13.0,3.0,4.0,3.0,2.0,31.0,4.0,32.0,2.0,5.0,76.0
2022-03-24,12.0,20.0,5.0,1.0,9.0,2.0,20.0,2.0,29.0,3.0,5.0,72.0
2022-03-25,26.0,17.0,5.0,2.0,2.0,5.0,38.0,4.0,29.0,6.0,5.0,82.0
2022-03-26,32.0,40.0,8.0,5.0,10.0,8.0,46.0,5.0,42.0,8.0,10.0,166.0
2022-03-27,42.0,32.0,4.0,12.0,10.0,2.0,95.0,8.0,65.0,10.0,11.0,166.0
2022-03-28,23.0,23.0,6.0,1.0,10.0,1.0,17.0,4.0,11.0,6.0,8.0,113.0
2022-03-29,20.0,15.0,6.0,4.0,5.0,4.0,14.0,1.0,17.0,7.0,2.0,100.0
2022-03-30,15.0,14.0,1.0,2.0,2.0,4.0,17.0,0.0,20.0,4.0,4.0,68.0
2022-03-31,25.0,17.0,3.0,2.0,2.0,0.0,13.0,0.0,12.0,5.0,6.0,82.0
2022-04-01,29.0,15.0,3.0,4.0,8.0,5.0,23.0,7.0,33.0,6.0,7.0,79.0
2022-04-02,23.0,21.0,1.0,2.0,6.0,10.0,38.0,7.0,25.0,8.0,8.0,107.0
2022-04-03,32.0,40.0,8.0,5.0,10.0,0.0,69.0,14.0,32.0,7.0,7.0,189.0
2022-04-04,16.0,30.0,1.0,3.0,5.0,1.0,29.0,0.0,20.0,3.0,3.0,93.0
2022-04-05,15.0,22.0,4.0,2.0,10.0,5.0,19.0,5.0,22.0,6.0,14.0,82.0
2022-04-06,27.0,11.0,0.0,4.0,6.0,2.0,24.0,3.0,8.0,0.0,6.0,65.0
2022-04-07,14.0,22.0,6.0,1.0,5.0,1.0,27.0,3.0,28.0,3.0,7.0,87.0
2022-04-08,23.0,9.0,5.0,5.0,3.0,0.0,17.0,3.0,13.0,4.0,10.0,63.0
2022-04-09,36.0,30.0,1.0,2.0,7.0,2.0,29.0,5.0,32.0,6.0,6.0,119.0
